name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Nissan Sunny Diesel XL,2012,300000,110000,Diesel,Individual,Manual,First Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Mahindra XUV500 AT W8 FWD,2015,740000,45000,Diesel,Dealer,Automatic,First Owner
Hyundai Santro Xing XG,2005,70000,68500,Petrol,Dealer,Manual,First Owner
Hyundai Santro Sportz AMT,2019,484999,5007,Petrol,Dealer,Automatic,First Owner
Nissan Micra Active XV S,2013,164000,30000,Petrol,Individual,Manual,First Owner
Honda City 1.5 V AT,2008,140000,70000,Petrol,Individual,Automatic,First Owner
Mercedes-Benz E-Class E250 CDI Elegance,2011,999000,49600,Diesel,Dealer,Automatic,First Owner
Maruti Alto LXI,2005,56000,23000,Petrol,Individual,Manual,Second Owner
BMW 7 Series 730Ld,2006,1050000,30000,Diesel,Dealer,Automatic,First Owner
Hyundai Verna 1.6 VTVT,2010,190000,38000,Petrol,Dealer,Manual,First Owner
Audi Q5 3.0 TDI Quattro Technology,2018,3899000,22000,Diesel,Dealer,Automatic,First Owner
Hyundai i10 Sportz 1.2,2011,235000,43100,Petrol,Dealer,Manual,First Owner
Datsun GO Plus T,2017,350000,10171,Petrol,Dealer,Manual,First Owner
Renault Duster 110PS Diesel RxL,2015,465000,41123,Diesel,Dealer,Manual,First Owner
Toyota Camry Hybrid 2.5,2017,1900000,20118,Petrol,Dealer,Automatic,First Owner
Honda City i DTec SV,2014,450000,40000,Diesel,Dealer,Manual,First Owner
Volkswagen Jetta 2.0L TDI Highline,2015,790000,52517,Diesel,Dealer,Manual,First Owner
Mahindra Marazzo M2 8Str,2019,900000,20000,Diesel,Individual,Manual,First Owner
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,450000,99117,Diesel,Dealer,Manual,First Owner
Chevrolet Spark 1.0 LS,2009,135000,90000,Petrol,Individual,Manual,First Owner
Maruti Celerio ZXI MT BSIV,2019,425000,3700,Petrol,Individual,Manual,First Owner
Tata Indica Vista Terra 1.4 TDI,2010,100000,80000,Diesel,Individual,Manual,First Owner
Ford EcoSport 1.5 TDCi Titanium BSIV,2015,650000,100000,Diesel,Individual,Manual,Second Owner
Tata Indica Vista Aqua 1.4 TDI,2011,90000,54000,Diesel,Individual,Manual,First Owner
Hyundai EON Era Plus,2017,250000,19000,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI,2014,300000,120000,Diesel,Individual,Manual,First Owner
Maruti Wagon R VXI BS IV,2014,275000,30000,Petrol,Individual,Manual,First Owner
Honda BRV i-VTEC V MT,2017,600000,43500,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2016,270000,60000,Petrol,Individual,Manual,Second Owner
Renault KWID RXT Optional,2016,240000,70000,Petrol,Individual,Manual,Second Owner
Skoda Octavia Elegance 2.0 TDI AT,2014,1200000,135000,Diesel,Individual,Automatic,Third Owner
Chevrolet Beat Diesel LS,2012,160000,50000,Diesel,Individual,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,2018,790000,19571,Diesel,Dealer,Manual,First Owner
Honda City i-VTEC ZX,2018,1200000,29600,Petrol,Dealer,Manual,First Owner
Maruti Swift LXI,2011,175000,70000,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,950000,15000,Diesel,Individual,Automatic,First Owner
Maruti Celerio LXI MT BSIV,2019,340000,50000,Petrol,Individual,Manual,First Owner
Renault Captur 1.5 Diesel RXT,2017,825000,13500,Diesel,Individual,Manual,First Owner
Audi A4 30 TFSI Technology,2018,3100000,22000,Petrol,Individual,Automatic,First Owner
Honda Amaze VX Diesel BSIV,2018,780000,25000,Diesel,Dealer,Manual,First Owner
Toyota Corolla Altis 1.8 VL AT,2010,350000,80000,Petrol,Individual,Automatic,Third Owner
Honda Amaze VX Petrol BSIV,2018,690000,39000,Petrol,Dealer,Manual,First Owner
Maruti Alto 800 VXI,2016,245000,60000,Petrol,Individual,Manual,First Owner
Honda Amaze VX Diesel BSIV,2018,790000,49000,Diesel,Dealer,Manual,First Owner
Honda Amaze VX i-VTEC,2018,680000,48600,Petrol,Dealer,Manual,First Owner
Hyundai Grand i10 Asta Option,2017,540000,20000,Petrol,Individual,Manual,Second Owner
Mahindra KUV 100 mFALCON G80 K2,2016,425000,25000,Petrol,Individual,Manual,First Owner
Maruti Zen Estilo Sports,2008,140000,120000,Petrol,Individual,Manual,First Owner
Maruti Ertiga ZDI Plus,2019,1100000,30000,Diesel,Individual,Manual,First Owner
Renault Lodgy 85PS RxL,2015,715000,35000,Diesel,Individual,Manual,First Owner
Maruti Swift VXI,2013,370000,90000,Petrol,Individual,Manual,First Owner
Hyundai Verna CRDi ABS,2007,175000,80000,Diesel,Individual,Manual,Second Owner
Mercedes-Benz E-Class 230,1998,1000000,35000,Petrol,Individual,Automatic,Second Owner
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner
Tata Xenon XT EX 4X2,2014,291000,90000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 LXI,2013,92800,25000,Petrol,Individual,Manual,Second Owner
Renault KWID 1.0 RXT Optional,2016,350000,20000,Petrol,Individual,Manual,First Owner
Maruti Omni 5 Str STD,1998,65000,60000,Petrol,Dealer,Manual,Third Owner
Maruti Swift Dzire VDI,2015,650000,58000,Diesel,Individual,Manual,First Owner
Maruti Wagon R LX BS IV,2014,350000,40000,Petrol,Dealer,Manual,First Owner
Maruti Wagon R LXI,2005,75000,70000,Petrol,Individual,Manual,Second Owner
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),2012,440000,70000,Diesel,Dealer,Manual,First Owner
Hyundai Santro Xing GLS,2013,270000,60000,Petrol,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 7-seater,2014,1150000,135000,Diesel,Dealer,Manual,First Owner
Maruti Omni 8 Seater BSII,2015,238000,70000,Petrol,Dealer,Manual,First Owner
Mercedes-Benz B Class B180 Sports,2013,1100000,40000,Petrol,Individual,Automatic,Second Owner
Mahindra XUV500 W10 2WD,2015,1200000,75000,Diesel,Dealer,Manual,Second Owner
Skoda Fabia 1.2L Diesel Ambiente,2010,260000,150000,Diesel,Individual,Manual,First Owner
Toyota Etios VD,2012,350000,140000,Diesel,Individual,Manual,Third Owner
Toyota Etios Liva VD,2015,480000,70000,Diesel,Individual,Manual,First Owner
Toyota Etios Liva GD,2012,345000,137250,Diesel,Individual,Manual,Second Owner
Mahindra Scorpio M2DI,2013,500000,110000,Diesel,Individual,Manual,Second Owner
Hyundai Grand i10 Asta Option,2017,595000,27000,Petrol,Dealer,Manual,First Owner
Hyundai Verna CRDi 1.6 SX Option,2019,1295000,9000,Diesel,Dealer,Manual,First Owner
Volkswagen Vento 1.5 TDI Highline BSIV,2019,1350000,5400,Diesel,Dealer,Manual,Test Drive Car
Renault KWID Climber 1.0 MT Opt BSIV,2020,541000,1000,Petrol,Dealer,Manual,Test Drive Car
Hyundai Santro Asta,2018,515000,16000,Petrol,Dealer,Manual,First Owner
Ford Figo Aspire Titanium Plus Diesel,2019,894999,13000,Diesel,Dealer,Manual,Test Drive Car
Renault Pulse RxZ Optional,2012,325000,47000,Diesel,Dealer,Manual,First Owner
Maruti Ciaz 1.4 Alpha,2018,925000,22000,Petrol,Individual,Manual,First Owner
Nissan Terrano XL P,2017,844999,30000,Petrol,Individual,Manual,First Owner
Maruti Ciaz 1.4 Alpha,2018,925000,20000,Petrol,Individual,Manual,First Owner
Tata Manza Club Class Quadrajet90 LX,2013,300000,60000,Diesel,Individual,Manual,First Owner
Toyota Camry M/t,2008,650000,75000,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 LXI,2010,175000,64000,Petrol,Dealer,Manual,First Owner
Maruti SX4 S Cross DDiS 320 Delta,2015,325000,80000,Diesel,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxZ,2017,600000,90000,Diesel,Individual,Manual,First Owner
Maruti Swift ZXI Plus,2018,700000,30000,Petrol,Individual,Manual,First Owner
Toyota Corolla H3,2003,95000,120000,Petrol,Individual,Automatic,Second Owner
Maruti Celerio ZXI,2019,490000,20000,Petrol,Dealer,Manual,First Owner
Tata Safari DICOR 2.2 EX 4x2,2013,380000,100000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2018,550000,31000,Petrol,Dealer,Manual,First Owner
Maruti Alto 800 LXI,2013,225000,47000,Petrol,Dealer,Manual,First Owner
Tata Nexon 1.2 Revotron XM,2018,570000,11200,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2018,305000,35000,Petrol,Dealer,Manual,First Owner
Maruti Wagon R Duo Lxi,2010,240000,50000,LPG,Dealer,Manual,First Owner
Maruti Ertiga SHVS VDI,2015,700000,55000,Diesel,Dealer,Manual,First Owner
Maruti Omni E MPI STD BS IV,2018,288000,20000,Petrol,Dealer,Manual,First Owner
Mahindra Bolero B4,2017,800000,75000,Diesel,Dealer,Manual,First Owner
Maruti Celerio VXI,2017,430000,93000,Petrol,Dealer,Manual,First Owner
Chevrolet Beat Diesel LT Option,2009,195000,57000,Diesel,Dealer,Manual,Second Owner
Maruti Eeco Smiles 5 Seater AC,2014,325000,30000,Petrol,Dealer,Manual,First Owner
Renault Duster 85PS Diesel RxE,2013,450000,73000,Diesel,Dealer,Manual,First Owner
Maruti Swift Dzire VDI,2016,630000,65000,Diesel,Dealer,Manual,First Owner
Maruti Swift 1.3 VXi,2009,250000,62000,Petrol,Dealer,Manual,Second Owner
Hyundai Santro GLS I - Euro II,2007,135000,85000,Petrol,Dealer,Manual,First Owner
Chevrolet Spark 1.0 PS,2010,110000,73000,Petrol,Individual,Manual,First Owner
Maruti Swift ZDi,2012,350000,55000,Diesel,Dealer,Manual,First Owner
Maruti Omni E MPI STD BS IV,2016,240000,5800,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 V Diesel 8-seater,2009,350000,350000,Diesel,Individual,Manual,First Owner
Maruti Swift ZXI Plus,2018,600000,30000,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI,2018,750000,20000,Diesel,Individual,Manual,First Owner
Hyundai EON Era Plus,2018,270000,20000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2007,90000,100000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R Stingray VXI,2013,350000,65000,Petrol,Individual,Manual,First Owner
Ford Figo Diesel Celebration Edition,2013,285000,90000,Diesel,Individual,Manual,Second Owner
Toyota Innova 2.5 E Diesel MS 7-seater,2011,665000,267000,Diesel,Individual,Manual,Second Owner
Mahindra Scorpio 2.6 CRDe,2005,175000,250000,Diesel,Individual,Manual,Second Owner
Mahindra Xylo D2,2011,350000,140000,Diesel,Individual,Manual,Second Owner
Honda City i-VTEC CVT ZX,2018,1225000,22000,Petrol,Dealer,Automatic,First Owner
Honda Jazz Select Edition Active,2010,285000,60000,Petrol,Dealer,Manual,Second Owner
Honda City i-VTEC VX,2018,1000000,28635,Petrol,Dealer,Manual,First Owner
Honda Amaze VX Diesel BSIV,2018,780000,32114,Diesel,Dealer,Manual,First Owner
Maruti Celerio VXI,2014,300000,82000,Petrol,Dealer,Manual,Second Owner
Maruti Swift VXI BSIII,2006,160000,95149,Petrol,Dealer,Manual,Second Owner
Honda Amaze VX i-VTEC,2018,625000,68458,Petrol,Dealer,Manual,First Owner
Maruti Ritz VXi,2010,265000,42000,Petrol,Individual,Manual,First Owner
Honda City i DTEC V,2014,515000,90000,Diesel,Individual,Manual,Second Owner
Hyundai EON D Lite,2016,210000,30000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2009,140000,80000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,940000,128000,Diesel,Individual,Manual,First Owner
Nissan Terrano XV Premium 110 PS,2013,750000,80000,Diesel,Individual,Manual,First Owner
Maruti Baleno Alpha 1.3,2016,610000,100000,Diesel,Individual,Manual,First Owner
Nissan Sunny XV D Premium Leather,2015,450000,50000,Diesel,Individual,Manual,First Owner
Toyota Etios Liva GD,2012,409999,56000,Diesel,Individual,Manual,First Owner
Hyundai EON 1.0 Era Plus,2018,100000,21302,Petrol,Individual,Manual,First Owner
Hyundai i20 Active 1.4 SX,2016,650000,100000,Diesel,Individual,Manual,First Owner
Mahindra TUV 300 T8,2017,650000,80000,Diesel,Individual,Manual,First Owner
Hyundai Getz 1.3 GLS,2010,150000,105546,Petrol,Individual,Manual,First Owner
Toyota Etios Liva 1.2 V,2018,500000,10000,Petrol,Individual,Manual,First Owner
Toyota Innova 2.5 GX 7 STR BSIV,2012,1000000,80000,Diesel,Individual,Manual,Second Owner
Hyundai i20 Magna Optional 1.2,2013,340000,35000,Petrol,Individual,Manual,First Owner
Hyundai Elite i20 Asta Option BSIV,2019,800000,11240,Petrol,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater,2013,1010000,120000,Diesel,Individual,Manual,First Owner
Toyota Etios GD,2011,350000,120000,Diesel,Individual,Manual,Third Owner
Maruti Swift VDI BSIV,2016,595000,70000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio VLX 2WD BSIV,2014,700000,130000,Diesel,Individual,Manual,Third Owner
Renault KWID RXL,2019,265000,40000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,2015,320000,60000,Petrol,Individual,Manual,Second Owner
Honda City 1.5 S MT,2011,310000,110000,Petrol,Individual,Manual,First Owner
Honda City i DTEC VX,2014,700000,130000,Diesel,Individual,Manual,First Owner
Maruti Alto LXi BSIII,2009,130000,80000,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VDi,2009,150000,120000,Diesel,Individual,Manual,Second Owner
Honda Amaze E i-Dtech,2015,300000,104000,Diesel,Individual,Manual,Second Owner
Maruti Swift Dzire LXi,2011,150000,100000,Petrol,Individual,Manual,Second Owner
Honda City 1.3 EXI,2003,120000,132343,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.4 CRDi S Plus,2016,950000,90000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,2007,100000,60000,Petrol,Individual,Manual,Second Owner
Honda Jazz 1.5 SV i DTEC,2015,450000,76000,Diesel,Individual,Manual,First Owner
Maruti 800 EX,2004,30000,60000,Petrol,Individual,Manual,Third Owner
Mahindra Renault Logan 1.6 Petrol GLSX,2009,200000,30000,Petrol,Individual,Manual,Second Owner
Tata Indigo LS,2010,250000,96000,Diesel,Individual,Manual,Second Owner
Mahindra Marazzo M8 8Str,2018,1300000,10000,Diesel,Individual,Manual,First Owner
Toyota Etios Liva 1.4 VD,2017,425000,36000,Diesel,Dealer,Manual,First Owner
Honda Amaze VX O iDTEC,2017,550000,12997,Diesel,Dealer,Manual,First Owner
Maruti Ciaz 1.4 AT Zeta,2017,500000,40000,Petrol,Individual,Automatic,First Owner
Hyundai Verna CRDi 1.6 SX Option,2018,1150000,26430,Diesel,Dealer,Manual,First Owner
Maruti Swift 1.3 VXI ABS,2015,475000,24600,Petrol,Dealer,Manual,First Owner
Maruti Wagon R LXI,2011,260000,28481,Petrol,Dealer,Manual,First Owner
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,350000,100000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 2WD,2013,750000,41988,Diesel,Dealer,Manual,First Owner
Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner
Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,First Owner
Maruti Swift Dzire VDI,2017,611000,34400,Diesel,Dealer,Manual,First Owner
Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,First Owner
Maruti Alto VXi,2015,280000,26134,Petrol,Dealer,Manual,First Owner
Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Dealer,Automatic,First Owner
Mahindra XUV500 W8 2WD,2012,711000,53600,Diesel,Dealer,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater,2015,851000,53652,Diesel,Dealer,Manual,First Owner
Maruti Ritz VDi,2011,260000,52895,Diesel,Dealer,Manual,First Owner
Hyundai Verna SX Diesel,2013,550000,42324,Diesel,Dealer,Manual,Second Owner
Mahindra XUV500 W10 1.99 mHawk,2016,1044999,65000,Diesel,Dealer,Manual,First Owner
Mahindra Scorpio EX,2012,550000,60236,Diesel,Dealer,Manual,First Owner
Maruti Wagon R VXI BS IV,2014,210000,70000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,2014,210000,70000,Petrol,Individual,Manual,Third Owner
Mahindra Xylo E8,2009,290000,100000,Diesel,Individual,Manual,Second Owner
Fiat 500 Lounge,2008,250999,110000,Diesel,Individual,Manual,First Owner
Renault Triber RXT BSIV,2019,600000,10300,Petrol,Individual,Manual,First Owner
Fiat Grande Punto EVO 1.3 Active,2014,270000,120000,Diesel,Individual,Manual,Second Owner
Tata New Safari 4X4 EX,2012,550000,142000,Diesel,Individual,Manual,First Owner
Mahindra TUV 300 mHAWK100 T8,2017,800000,25000,Diesel,Individual,Manual,First Owner
Tata Altroz XE,2020,500000,5000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2016,396000,28643,Petrol,Dealer,Manual,First Owner
Honda City i DTEC VX,2014,600000,50000,Diesel,Individual,Manual,First Owner
Maruti Wagon R ZXI 1.2,2019,575000,30000,Petrol,Dealer,Manual,First Owner
Hyundai Santro Sportz BSIV,2020,520000,5000,Petrol,Individual,Manual,First Owner
Mahindra XUV500 AT W10 FWD,2018,1400000,30000,Diesel,Individual,Automatic,First Owner
Maruti Baleno Delta Automatic,2018,600000,7600,Petrol,Individual,Automatic,First Owner
Chevrolet Beat Diesel LS,2013,195000,47253,Diesel,Dealer,Manual,First Owner
Maruti Alto K10 VXI AGS,2015,281000,4432,Petrol,Dealer,Automatic,Second Owner
Tata Indica GLS BS IV,2010,75000,110000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 Sportz,2014,400000,25000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Terra 1.4 TDI,2009,93000,70000,Diesel,Individual,Manual,Second Owner
Hyundai i20 Active S Petrol,2016,560000,68523,Petrol,Dealer,Manual,First Owner
Hyundai EON 1.0 Era Plus,2019,400000,5000,Petrol,Individual,Manual,First Owner
Tata Tigor 1.2 Revotron XT,2018,459999,40000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 CRDi E,2017,450000,43000,Diesel,Individual,Manual,First Owner
Maruti Alto Green LXi (CNG),2010,88000,80251,CNG,Dealer,Manual,Second Owner
Hyundai i20 1.2 Era,2010,250000,34500,Petrol,Individual,Manual,Second Owner
Ford Ikon 1.4 ZXi,2000,22000,42743,Petrol,Dealer,Manual,Third Owner
Chevrolet Beat Diesel LS,2013,130000,93900,Diesel,Individual,Manual,Second Owner
Maruti Zen VXi - BS III,2004,79000,80000,Petrol,Individual,Manual,First Owner
Chevrolet Beat Diesel LS,2012,120000,110000,Diesel,Individual,Manual,First Owner
BMW 7 Series 730Ld,2011,1700000,100000,Diesel,Individual,Automatic,Second Owner
Chevrolet Optra Magnum 2.0 LT,2012,300000,25000,Diesel,Individual,Manual,First Owner
Chevrolet Optra Magnum 2.0 LT,2012,300000,25000,Diesel,Individual,Manual,First Owner
Maruti A-Star Lxi,2009,145000,25000,Petrol,Individual,Manual,First Owner
Ford Endeavour 3.2 Titanium AT 4X4,2019,3200000,20000,Diesel,Individual,Automatic,First Owner
Chevrolet Spark 1.0 LT,2013,240000,10000,Petrol,Individual,Manual,First Owner
Honda WR-V i-DTEC VX,2018,700000,30000,Diesel,Individual,Manual,First Owner
Hyundai Accent GLX,2010,145000,110000,Petrol,Individual,Manual,Second Owner
Maruti Ertiga VDI Limited Edition,2014,535000,80000,Diesel,Individual,Manual,Second Owner
Mahindra KUV 100 mFALCON G80 K2 Plus,2016,420000,21000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,2016,350000,20000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,2015,550000,32000,Diesel,Individual,Manual,First Owner
Mitsubishi Montero 3.2 MT,2007,750000,180000,Diesel,Individual,Manual,First Owner
Tata Indica Vista Aqua 1.3 Quadrajet ABS BSIV,2012,198000,70000,Diesel,Individual,Manual,Second Owner
Hyundai i20 Magna Optional 1.4 CRDi,2013,420000,50000,Diesel,Individual,Manual,First Owner
Hyundai i20 Magna Optional 1.4 CRDi,2013,420000,50000,Diesel,Individual,Manual,First Owner
Ford Endeavour 4x2 XLT,2004,195000,120000,Diesel,Individual,Manual,First Owner
Hyundai EON Sportz,2012,150000,55766,Petrol,Individual,Manual,Second Owner
Nissan Micra XL,2011,275000,40000,Petrol,Individual,Manual,Second Owner
Maruti 800 Std,2001,65000,60000,Petrol,Individual,Manual,Third Owner
Maruti Swift LXi BSIV,2008,200000,50000,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDi,2010,250000,110000,Diesel,Individual,Manual,Second Owner
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner
Maruti Ignis 1.3 Delta,2018,590000,26350,Diesel,Dealer,Manual,First Owner
Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual,Manual,Second Owner
Tata Indigo CS LX (TDI) BS-III,2015,225000,68745,Diesel,Dealer,Manual,First Owner
Maruti Alto 800 LXI,2006,165000,132000,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus SLX,2019,860000,35000,Diesel,Individual,Manual,First Owner
Mahindra XUV500 W6 2WD,2016,900000,47000,Diesel,Individual,Manual,First Owner
Tata Indigo TDI,2013,182000,100000,Diesel,Individual,Manual,First Owner
Tata Indica Vista Terra 1.4 TDI,2010,100000,80000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,2006,100000,40000,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 VXI AGS,2017,375000,27289,Petrol,Dealer,Automatic,First Owner
Tata Tiago XZA AMT,2018,525000,10980,Petrol,Dealer,Automatic,First Owner
Hyundai EON Era Plus,2016,320000,24662,Petrol,Dealer,Manual,First Owner
Maruti Swift Dzire VDI,2013,525000,37000,Diesel,Dealer,Manual,First Owner
Nissan Evalia XV,2014,650000,28245,Diesel,Dealer,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Sportz Option,2017,575000,27005,Diesel,Dealer,Manual,First Owner
Hyundai i10 Magna,2014,355000,39227,Petrol,Dealer,Manual,First Owner
Mahindra KUV 100 D75 K4 Plus 5Str,2016,470000,31367,Diesel,Dealer,Manual,First Owner
Maruti Wagon R LXI,2008,221000,35008,Petrol,Dealer,Manual,First Owner
Hyundai Santro Xing GLS,2009,195000,27005,Petrol,Dealer,Manual,First Owner
Maruti Zen VX,2001,85000,86000,Petrol,Individual,Manual,Second Owner
Maruti Swift VDI,2013,400000,50000,Diesel,Individual,Manual,First Owner
Maruti Baleno Delta 1.3,2017,650000,20000,Diesel,Individual,Manual,First Owner
Hyundai i10 Magna 1.2,2010,400000,50000,Petrol,Individual,Manual,First Owner
Tata Manza Aura (ABS) Quadrajet BS IV,2012,295000,80000,Diesel,Individual,Manual,Second Owner
Maruti Omni LPG STD BSIV,2006,60000,135000,LPG,Individual,Manual,Fourth & Above Owner
Maruti Zen D PS,2003,110000,120000,Diesel,Individual,Manual,Third Owner
Fiat Linea 1.3 Multijet Emotion,2015,550000,113600,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing GLS,2008,190000,70000,Petrol,Individual,Manual,Third Owner
Ford Aspire Titanium Plus Diesel BSIV,2018,861999,20000,Diesel,Dealer,Manual,First Owner
Ford Aspire Titanium Plus BSIV,2018,782000,14000,Petrol,Dealer,Manual,First Owner
Ford Freestyle Titanium Plus Diesel BSIV,2018,836000,26000,Diesel,Dealer,Manual,First Owner
Honda City i VTEC V,2016,696000,138925,Petrol,Dealer,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,2016,596000,121764,Diesel,Dealer,Manual,First Owner
Honda Jazz 1.2 VX i VTEC,2016,612000,105429,Petrol,Dealer,Manual,First Owner
Maruti Alto 800 LXI,2015,114999,35000,Petrol,Individual,Manual,First Owner
Tata Bolt Quadrajet XE,2017,340000,60000,Diesel,Individual,Manual,First Owner
Maruti Swift ZXI Plus,2020,550000,5000,Petrol,Individual,Manual,First Owner
Chevrolet Aveo U-VA 1.2 LT,2008,114999,70000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R VXI,2000,105000,80000,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza ZDi,2019,890000,20000,Diesel,Individual,Manual,First Owner
Tata Nexon 1.2 Revotron XZ Plus,2019,715000,8000,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta (o),2014,525000,54000,Petrol,Dealer,Manual,Second Owner
Volkswagen Jetta 2.0L TDI Highline AT,2012,735000,55300,Diesel,Dealer,Automatic,First Owner
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner
Hyundai i20 Asta 1.2,2014,475000,23122,Petrol,Dealer,Manual,Second Owner
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
Chevrolet Cruze LT,2012,349000,44500,Diesel,Dealer,Manual,Second Owner
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner
Volkswagen Polo GTI,2017,825000,13599,Petrol,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
Chevrolet Beat Diesel,2012,160000,110000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio SLE BSIV,2014,550000,100000,Diesel,Individual,Manual,Second Owner
Maruti Swift 1.3 VXI ABS,2006,95000,110000,Petrol,Individual,Manual,Third Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,725000,90000,Diesel,Individual,Manual,Second Owner
Tata Tigor 1.2 Revotron XZ Option,2019,670000,17000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2008,65000,140000,Petrol,Individual,Manual,First Owner
Mahindra Xylo D4,2015,500000,50000,Diesel,Individual,Manual,Second Owner
Mahindra KUV 100 mFALCON G80 K8 5str,2017,600000,53000,Petrol,Individual,Manual,First Owner
Maruti Wagon R VXI Optional,2017,350000,70000,Petrol,Individual,Manual,Second Owner
Chevrolet Beat Diesel LT,2012,200000,70000,Diesel,Individual,Manual,Second Owner
Hyundai Getz 1.5 CRDi GVS,2008,110000,154000,Diesel,Individual,Manual,Third Owner
